,cars_name,cars_brand,model,model_year,car_type,kms,owner,gasoliene_type,price,emi_per_month,zero_downpayment
350,Maruti Swift,Maruti,VXI ,2013,Manual,"50,383",2nd,Petrol,"4,12,999","9,187/month",Zero downpayment
351,Maruti S PRESSO,Maruti,VXI PLUS AGS ,2020,Automatic,"4,762",2nd,Petrol,"5,22,199","11,616/month",Zero downpayment
352,Hyundai Elite i20,Hyundai,1.4 SPORTS PLUS CRDI ,2019,Manual,"89,264",1st,Diesel,"6,75,199","15,019/month",Zero downpayment
353,Hyundai i10,Hyundai,GNA 1.1 IRDE2 ,2016,Manual,"59,843",1st,Petrol,"3,98,499","8,864/month",Zero downpayment
354,Hyundai Grand i10,Hyundai,SPORTS 1.2 VTVT ,2018,Manual,"17,864",2nd,Petrol,"5,10,899","11,365/month",Zero downpayment
355,Maruti Swift,Maruti,VXI ,2015,Manual,"66,999",1st,Petrol,"5,05,399","11,242/month",Zero downpayment
356,Hyundai NEW SANTRO,Hyundai,STA 1.1 MT ,2019,Manual,"18,334",2nd,Petrol,"5,00,999","11,144/month",Zero downpayment
357,Maruti Swift,Maruti,LXI ,2019,Manual,"53,960",1st,Petrol,"5,89,299","13,109/month",Zero downpayment
358,Hyundai Grand i10,Hyundai,GNA 1.2 KAPPA VTVT ,2019,Manual,"27,015",1st,Petrol,"5,18,299","11,529/month",Zero downpayment
359,Hyundai NEW SANTRO,Hyundai,1.1 ERA EXICUTIVE ,2019,Manual,"4,594",1st,Petrol,"4,76,599","10,602/month",Zero downpayment
360,Maruti Swift,Maruti,VXI ,2017,Manual,"33,094",1st,Petrol,"5,62,399","12,510/month",Zero downpayment
361,Maruti Swift,Maruti,VXI ,2017,Manual,"38,537",1st,Petrol,"5,62,399","12,510/month",Zero downpayment
362,Maruti Swift,Maruti,VXI OPT ,2017,Manual,"34,721",2nd,Petrol,"5,49,299","12,219/month",Zero downpayment
363,Hyundai Eon,Hyundai,ERA PLUS ,2017,Manual,"48,340",1st,Petrol,"3,44,499","7,663/month",Zero downpayment
364,Maruti Swift,Maruti,VXI AMT ,2019,Automatic,"60,860",1st,Petrol,"6,57,099","14,617/month",Zero downpayment
365,Hyundai Grand i10,Hyundai,SPORTZ 1.2 KAPPA VTVT ,2018,Manual,"21,790",2nd,Petrol,"5,24,899","11,676/month",Zero downpayment
366,Hyundai Eon,Hyundai,ERA PLUS ,2016,Manual,"39,870",1st,Petrol,"3,30,799","7,358/month",Zero downpayment
367,Hyundai Eon,Hyundai,ERA PLUS ,2017,Manual,"69,220",1st,Petrol,"3,26,199","7,256/month",Zero downpayment
368,Maruti S PRESSO,Maruti,VXI ,2020,,"8,446",1st,Petrol,"4,76,199","10,593/month",Zero downpayment
369,Maruti Swift,Maruti,VXI ,2017,Manual,"60,464",1st,Petrol,"5,57,099","12,392/month",Zero downpayment
370,Hyundai Eon,Hyundai,GNA PLUS ,2017,Manual,"61,295",1st,Petrol,"3,44,499","7,663/month",Zero downpayment
371,Hyundai Eon,Hyundai,D LITE PLUS ,2017,Manual,"22,444",2nd,Petrol,"3,25,799","7,247/month",Zero downpayment
372,Maruti Swift,Maruti,ZXI ,2017,Manual,"54,222",1st,Petrol,"5,90,399","13,133/month",Zero downpayment
373,Maruti Swift Dzire,Maruti,VXI 1.2 BS IV ,2015,Manual,"95,731",1st,Petrol,"4,62,299","10,284/month",Zero downpayment
374,Maruti Swift,Maruti,VXI OPT ,2017,Manual,"18,716",1st,Petrol,"6,21,799","13,832/month",Zero downpayment
375,Honda Jazz,Honda,1.2 V MT ,2019,Manual,"40,441",1st,Petrol,"7,25,499","16,138/month",Zero downpayment
376,Maruti Swift,Maruti,VXI OPT ,2017,Manual,"26,184",1st,Petrol,"6,12,099","13,616/month",Zero downpayment
377,Hyundai Eon,Hyundai,ERA PLUS ,2016,Manual,"45,285",1st,Petrol,"3,32,099","7,387/month",Zero downpayment
378,Honda Brio,Honda,1.2 VX AT I VTEC ,2015,Automatic,"47,849",1st,Petrol,"4,98,199","11,082/month",Zero downpayment
379,Maruti Swift,Maruti,VXI ,2017,Manual,"59,839",1st,Petrol,"5,62,399","12,510/month",Zero downpayment
380,Hyundai Eon,Hyundai,ERA PLUS ,2017,Manual,"37,170",1st,Petrol,"3,49,799","7,781/month",Zero downpayment
381,Hyundai Eon,Hyundai,ERA PLUS ,2017,Manual,"37,522",1st,Petrol,"3,49,799","7,781/month",Zero downpayment
382,Hyundai i10,Hyundai,GNA 1.1 IRDE2 ,2014,Manual,"63,086",1st,Petrol,"3,55,999","7,919/month",Zero downpayment
383,Hyundai Grand i10,Hyundai,SPORTZ 1.2 KAPPA VTVT ,2016,Manual,"35,337",1st,Petrol,"5,33,899","11,876/month",Zero downpayment
384,Hyundai NEW SANTRO,Hyundai,ERA 1.1 ,2019,Manual,"17,082",1st,Petrol,"4,39,899","9,785/month",Zero downpayment
385,Hyundai Eon,Hyundai,ERA PLUS ,2017,Manual,"23,727",1st,Petrol,"3,45,199","7,679/month",Zero downpayment
386,Hyundai Eon,Hyundai,ERA PLUS ,2017,Manual,"7,416",2nd,Petrol,"3,49,799","7,781/month",Zero downpayment
387,Hyundai Grand i10,Hyundai,SPORTZ (O) 1.2 AT VTVT ,2017,,"52,694",1st,Petrol,"5,93,199","13,195/month",Zero downpayment
388,Hyundai Grand i10,Hyundai,SPORTZ 1.2 KAPPA VTVT ,2016,Manual,"32,688",2nd,Petrol,"5,19,699","11,560/month",Zero downpayment
389,Hyundai Grand i10,Hyundai,1.2 CRDI Sportz O ,2017,Manual,"52,030",1st,Diesel,"5,67,899","12,633/month",Zero downpayment
390,Maruti Alto K10,Maruti,VXI ,2013,Manual,"68,748",1st,Petrol,"2,54,999","5,672/month",Zero downpayment
391,Hyundai Grand i10,Hyundai,1.2 ASTA (O) AT ,2016,Automatic,"44,123",1st,Petrol,"5,09,699","11,338/month",Zero downpayment
392,Hyundai Grand i10,Hyundai,GNA 1.2 KAPPA VTVT ,2017,Manual,"59,731",2nd,Petrol,"4,81,499","10,711/month",Zero downpayment
393,Hyundai Grand i10,Hyundai,Sportz(O) 1.2 MT ,2017,Manual,"51,343",1st,Petrol,"5,36,899","11,943/month",Zero downpayment
394,Maruti Celerio,Maruti,ZXI OPT AMT ,2016,Automatic,"93,304",1st,Petrol,"4,10,799","9,138/month",Zero downpayment
395,Maruti Wagon R 1.0,Maruti,VXI AMT ,2018,Automatic,"31,786",1st,Petrol,"5,27,299","11,729/month",Zero downpayment
396,Maruti Alto 800,Maruti,LXI OPT ,2016,Manual,"95,754",1st,Petrol,"2,70,399","6,015/month",Zero downpayment
397,Hyundai Grand i10,Hyundai,SPORTZ 1.2 KAPPA VTVT ,2018,Manual,"16,300",1st,Petrol,"5,90,799","13,142/month",Zero downpayment
398,Hyundai Grand i10,Hyundai,SPORTS 1.2 VTVT ,2017,Manual,"42,349",1st,Petrol,"5,10,599","11,358/month",Zero downpayment
