,cars_name,cars_brand,model,model_year,car_type,kms,owner,gasoliene_type,price,emi_per_month,zero_downpayment
88,Maruti Eeco,Maruti,5 STR WITH AC PLUSHTR ,2018,Manual,"28,382",1st,Petrol,"4,67,099","10,390/month",Zero downpayment
89,Honda Amaze,Honda,1.2 EXMT I VTEC ,2014,Manual,"58,249",2nd,Petrol,"4,57,799","10,183/month",Zero downpayment
90,Maruti Alto K10,Maruti,VXI (O) AMT ,2016,Automatic,"24,993",1st,Petrol,"4,27,499","9,509/month",Zero downpayment
91,Maruti Vitara Brezza,Maruti,ZDI + AMT ,2018,Automatic,"39,342",2nd,Diesel,"9,30,399","20,696/month",Zero downpayment
92,Hyundai i10,Hyundai,SPORTZ 1.1 IRDE2 ,2016,Manual,"47,786",1st,Petrol,"4,34,499","9,665/month",Zero downpayment
93,Maruti Alto K10,Maruti,VXI OPT ,2016,Manual,"34,154",2nd,Petrol,"3,54,299","7,881/month",Zero downpayment
94,Maruti Swift,Maruti,VXI ,2014,Manual,"59,853",1st,Petrol,"4,93,499","10,978/month",Zero downpayment
95,Maruti Ertiga,Maruti,ZDI ,2014,Manual,"1,36,879",1st,Diesel,"6,33,799","14,099/month",Zero downpayment
96,Hyundai Elite i20,Hyundai,STA 1.2 ,2015,Manual,"1,02,624",1st,Petrol,"5,78,899","12,877/month",Zero downpayment
97,Ford FREESTYLE,Ford,TITANIUM 1.2 TI-VCT MT ,2018,,"31,061",1st,Petrol,"6,56,299","14,599/month",Zero downpayment
98,Hyundai Tucson New,Hyundai,4WD AT GLS DIESEL ,2017,Automatic,"58,222",2nd,Diesel,"20,28,599","45,125/month",Zero downpayment
99,Ford FREESTYLE,Ford,TITANIUM 1.2 TI-VCT MT ,2018,Manual,"12,414",1st,Petrol,"7,00,299","15,578/month",Zero downpayment
100,Maruti Zen Estilo,Maruti,VXI ,2008,Manual,"60,927",1st,Petrol,"2,51,799","5,601/month",Zero downpayment
101,Honda City,Honda,V MT PETROL ,2017,Manual,"47,252",1st,Petrol,"8,24,499","18,341/month",Zero downpayment
102,Maruti Eeco,Maruti,5 STR WITH AC PLUSHTR ,2018,Manual,"14,600",1st,Petrol,"4,27,899","9,518/month",Zero downpayment
103,Honda Jazz,Honda,1.2 BASE I VTEC ,2009,Manual,"1,06,753",2nd,Petrol,"3,23,099","7,187/month",Zero downpayment
104,Renault Kwid,Renault,RXT 1.0 EASY-R  AT ,2016,Automatic,"44,324",2nd,Petrol,"3,86,499","8,597/month",Zero downpayment
105,Maruti Ritz,Maruti,LXI ,2010,Manual,"59,705",2nd,Petrol,"3,14,399","6,994/month",Zero downpayment
106,Maruti Baleno,Maruti,ZETA 1.2 K12 ,2017,Manual,"46,375",1st,Petrol,"6,69,799","14,899/month",Zero downpayment
107,Maruti Baleno,Maruti,ZETA 1.2 K12 ,2021,Manual,"3,201",1st,Petrol,"8,55,699","19,035/month",Zero downpayment
108,Maruti Baleno,Maruti,ZETA 1.2 K12 AMT ,2017,Automatic,"53,608",3rd,Petrol,"6,74,999","15,015/month",Zero downpayment
109,Tata NEXON,Tata,XZ+ 1.2 ,2020,Manual,"12,978",2nd,Petrol,"10,43,299","23,208/month",Zero downpayment
110,Volkswagen Polo,Volkswagen,COMFORTLINE 1.2L PETROL ,2016,Manual,"35,519",1st,Petrol,"5,53,399","12,310/month",Zero downpayment
111,Ford Ecosport,Ford,1.5TITANIUM TDCI ,2013,Manual,"78,438",2nd,Diesel,"6,23,499","13,869/month",Zero downpayment
112,Ford Figo Aspire,Ford,1.2 TITANIUM PETROL ,2017,Manual,"14,252",1st,Petrol,"6,01,499","13,380/month",Zero downpayment
113,Maruti Dzire,Maruti,VXI ,2018,Manual,"9,655",1st,Petrol,"6,82,999","15,193/month",Zero downpayment
114,Mahindra XUV 3OO,Mahindra,W8 (O) DIESEL  AT ,2020,Automatic,"23,130",1st,Diesel,"15,43,599","34,337/month",Zero downpayment
115,Honda Amaze,Honda,1.2 VXMT I VTEC ,2019,Manual,"16,418",1st,Petrol,"7,89,899","17,571/month",Zero downpayment
116,Ford Figo,Ford,1.2 TITANIUM DURATEC ,2013,Manual,"40,970",1st,Petrol,"4,09,299","9,105/month",Zero downpayment
117,Honda City,Honda,S MT PETROL ,2013,Manual,"90,128",1st,Petrol,"5,15,099","11,458/month",Zero downpayment
118,Hyundai VENUE,Hyundai,S MT 1.2 KAPPA ,2020,Manual,"7,415",1st,Petrol,"8,54,099","18,999/month",Zero downpayment
119,Maruti IGNIS,Maruti,ZETA 1.2 K12 ,2018,Manual,"73,599",1st,Petrol,"5,25,899","11,698/month",Zero downpayment
120,Maruti Celerio,Maruti,VXI ,2014,Manual,"61,223",1st,Petrol,"4,14,399","9,218/month",Zero downpayment
121,Ford Ecosport,Ford,1.5 TITANIUM TI VCT AT ,2015,Automatic,"76,180",2nd,Petrol,"6,71,099","14,928/month",Zero downpayment
122,Hyundai NEW SANTRO,Hyundai,SPORTZ 1.1 ,2019,Manual,"16,387",1st,Petrol,"5,22,599","11,625/month",Zero downpayment
123,Maruti S PRESSO,Maruti,VXI (O) ,2019,Manual,"14,568",2nd,Petrol,"4,33,899","9,652/month",Zero downpayment
124,Hyundai Eon,Hyundai,D LITE PLUS ,2015,Manual,"28,640",2nd,Petrol,"3,04,099","6,765/month",Zero downpayment
125,Jeep Compass,Jeep,2.0 LIMITED PLUS ,2019,Manual,"15,386",2nd,Diesel,"19,89,699","44,260/month",Zero downpayment
126,Maruti Swift,Maruti,VXI ,2015,Manual,"51,095",1st,Petrol,"5,22,999","11,634/month",Zero downpayment
127,Hyundai i20,Hyundai,SPORTZ 1.4 AT VTVT ,2013,Automatic,"76,298",2nd,Petrol,"4,94,299","10,995/month",Zero downpayment
128,Honda Jazz,Honda,1.2 V AT ,2017,Automatic,"17,578",1st,Petrol,"7,90,999","17,595/month",Zero downpayment
129,Honda Brio,Honda,1.2 S MT I VTEC ,2016,Manual,"21,733",1st,Petrol,"4,64,299","10,328/month",Zero downpayment
130,Hyundai Grand i10,Hyundai,GNA 1.2 KAPPA VTVT ,2017,Manual,"17,939",1st,Petrol,"4,98,299","11,084/month",Zero downpayment
131,Renault Kwid,Renault,RXT 1.0 EASY-R AT OPTION ,2019,Automatic,"5,796",1st,Petrol,"5,04,599","11,225/month",Zero downpayment
132,Hyundai Grand i10,Hyundai,STA 1.2 VTVT ,2019,Manual,"32,877",1st,Petrol,"6,57,399","14,623/month",Zero downpayment
133,Hyundai Grand i10,Hyundai,1.2 Sportz at ,2019,Automatic,"34,444",1st,Petrol,"6,33,499","14,092/month",Zero downpayment
134,Hyundai Eon,Hyundai,GNA PLUS ,2015,Manual,"30,228",1st,Petrol,"3,42,699","7,623/month",Zero downpayment
135,Hyundai i10,Hyundai,GNA 1.2 KAPPA2 ,2013,Manual,"37,717",2nd,Petrol,"3,29,299","7,325/month",Zero downpayment
136,Hyundai Grand i10,Hyundai,gna 1.2 AT  VTVT ,2017,Automatic,"34,073",1st,Petrol,"5,41,999","12,056/month",Zero downpayment
137,Hyundai Grand i10,Hyundai,SPORTS 1.2 VTVT ,2016,Manual,"25,202",2nd,Petrol,"5,01,599","11,158/month",Zero downpayment
138,Hyundai Grand i10,Hyundai,STA 1.2 (O) VTVT ,2016,Manual,"30,243",2nd,Petrol,"5,44,499","12,112/month",Zero downpayment
139,Maruti Wagon R 1.0,Maruti,VXI ,2014,Manual,"57,378",1st,Petrol,"4,00,699","8,913/month",Zero downpayment
140,Hyundai Grand i10,Hyundai,SPORTS 1.2 VTVT ,2016,Manual,120,1st,Petrol,"5,01,599","11,158/month",Zero downpayment
141,Hyundai Grand i10,Hyundai,STA 1.2 (O) VTVT ,2016,Manual,"23,568",1st,Petrol,"5,44,499","12,112/month",Zero downpayment
142,Maruti Wagon R 1.0,Maruti,VXI ,2018,Manual,"74,760",1st,Petrol,"4,62,499","10,288/month",Zero downpayment
143,Maruti Celerio,Maruti,ZXI OPT AMT ,2017,Automatic,"32,521",1st,Petrol,"5,24,799","11,674/month",Zero downpayment
144,Maruti Ritz,Maruti,VXI BS IV ,2014,Manual,"1,08,280",1st,Petrol,"4,09,699","9,114/month",Zero downpayment
145,Hyundai i10,Hyundai,SPORTZ 1.2 AT KAPPA2 ,2013,Automatic,"40,783",1st,Petrol,"3,97,299","8,838/month",Zero downpayment
146,Maruti Wagon R 1.0,Maruti,VXI ,2013,Manual,"44,510",1st,Petrol,"4,03,299","8,971/month",Zero downpayment
147,Maruti Ritz,Maruti,VXI BS IV ,2014,Manual,"54,073",2nd,Petrol,"3,99,499","8,887/month",Zero downpayment
148,Hyundai i10,Hyundai,SPORTZ 1.1 IRDE2 ,2015,Manual,"47,564",1st,Petrol,"4,11,399","9,151/month",Zero downpayment
149,Maruti Ritz,Maruti,VXI BS IV ,2012,Manual,"60,051",2nd,Petrol,"3,60,799","8,026/month",Zero downpayment
150,Maruti Wagon R 1.0,Maruti,VXI ,2014,Manual,"42,528",2nd,Petrol,"4,27,899","9,518/month",Zero downpayment
151,Maruti Eeco,Maruti,5 STR WITH AC PLUSHTR ,2019,Manual,"24,484",1st,Petrol,"4,83,099","10,746/month",Zero downpayment
152,Maruti Eeco,Maruti,7 STR ,2019,Manual,"15,915",2nd,Petrol,"4,77,999","10,633/month",Zero downpayment
153,Maruti Celerio,Maruti,VXI AMT ,2016,Automatic,"26,344",2nd,Petrol,"4,47,999","9,965/month",Zero downpayment
154,Maruti Wagon R 1.0,Maruti,VXI ,2015,Manual,"21,512",1st,Petrol,"4,38,399","9,752/month",Zero downpayment
155,Maruti Alto K10,Maruti,VXI OPT ,2017,Manual,"9,222",1st,Petrol,"4,30,699","9,581/month",Zero downpayment
156,Maruti Alto K10,Maruti,VXI ,2014,Manual,"34,245",2nd,Petrol,"3,38,799","7,536/month",Zero downpayment
157,Maruti Alto K10,Maruti,VXI (O) AMT ,2016,Automatic,"17,015",1st,Petrol,"4,27,499","9,509/month",Zero downpayment
158,Volkswagen Ameo,Volkswagen,HIGHLINE 1.5L AT (D) ,2016,Automatic,"70,051",2nd,Diesel,"6,36,399","14,156/month",Zero downpayment
159,Mercedes Benz B Class,Mercedes,B200 CDI SPORT ,2016,Automatic,"27,893",2nd,Diesel,"19,21,699","42,747/month",Zero downpayment
160,Ford Ecosport,Ford,1.5 TITANIUM TI VCT AT ,2016,Automatic,"25,214",1st,Petrol,"8,20,199","18,245/month",Zero downpayment
161,Honda Jazz,Honda,1.2 V MT ,2016,Manual,"17,522",2nd,Petrol,"6,98,199","15,531/month",Zero downpayment
