,cars_name,cars_brand,model,model_year,car_type,kms,owner,gasoliene_type,price,emi_per_month,zero_downpayment,city,state
3219,Maruti Dzire,Maruti,ZDI Plus ,2018,Manual,"30,200",2nd,Diesel,"7,99,999","17,796/month",Zero downpayment,Mumbai,Maharashtra
3220,Maruti Dzire,Maruti,ZDI Plus ,2018,Manual,"51,484",1st,Diesel,"7,89,399","17,560/month",Zero downpayment,Mumbai,Maharashtra
3221,Maruti Ertiga,Maruti,ZDI SHVS ,2016,Manual,"57,921",1st,Diesel,"8,67,199","19,290/month",Zero downpayment,Mumbai,Maharashtra
3222,Maruti IGNIS,Maruti,DELTA 1.3 DDIS ,2017,Manual,"29,027",1st,Diesel,"5,43,199","12,083/month",Zero downpayment,Mumbai,Maharashtra
3223,Maruti IGNIS,Maruti,DELTA 1.2 K12 AMT ,2017,Automatic,"14,854",1st,Petrol,"5,37,699","11,961/month",Zero downpayment,Mumbai,Maharashtra
3224,Hyundai VENUE,Hyundai,1.0 TURBO GDI SX+ AT ,2019,Automatic,"8,917",1st,Petrol,"11,70,199","26,030/month",Zero downpayment,Mumbai,Maharashtra
3225,Maruti Dzire,Maruti,VDI AMT ,2018,Automatic,"53,168",1st,Diesel,"7,55,099","16,797/month",Zero downpayment,Mumbai,Maharashtra
3226,Toyota Corolla Altis,Toyota,J S ,2014,Manual,"22,359",2nd,Petrol,"6,98,199","15,531/month",Zero downpayment,Mumbai,Maharashtra
3227,Maruti Dzire,Maruti,VDI AMT ,2018,Automatic,"23,726",1st,Diesel,"7,77,999","17,306/month",Zero downpayment,Mumbai,Maharashtra
3228,Honda Jazz,Honda,1.2 V MT ,2016,Manual,"29,453",1st,Petrol,"5,66,899","12,610/month",Zero downpayment,Mumbai,Maharashtra
3229,Honda Jazz,Honda,1.2 V AT ,2016,Automatic,"32,013",1st,Petrol,"6,34,599","14,116/month",Zero downpayment,Mumbai,Maharashtra
3230,Jeep Compass,Jeep,LIMITED 1.4 AT ,2018,Automatic,"9,447",1st,Petrol,"17,21,699","38,298/month",Zero downpayment,Mumbai,Maharashtra
3231,Hyundai Grand i10,Hyundai,GNA 1.2 VTVT ,2013,Manual,"36,143",1st,Petrol,"3,61,699","8,046/month",Zero downpayment,Mumbai,Maharashtra
3232,Hyundai VENUE,Hyundai,1.0 TURBO GDI SX+ AT ,2019,Automatic,"26,448",1st,Petrol,"10,83,999","24,113/month",Zero downpayment,Mumbai,Maharashtra
3233,Honda Jazz,Honda,1.2 SV MT ,2016,Manual,"41,262",1st,Petrol,"5,06,699","11,271/month",Zero downpayment,Mumbai,Maharashtra
3234,Hyundai Elite i20,Hyundai,SPORTZ 1.2 ,2016,Manual,"43,118",1st,Petrol,"5,94,699","13,229/month",Zero downpayment,Mumbai,Maharashtra
3235,Hyundai Creta,Hyundai,1.6 SX PLUS AUTO PETROL ,2017,Automatic,"67,764",1st,Petrol,"10,44,699","23,239/month",Zero downpayment,Mumbai,Maharashtra
3236,Hyundai Grand i10,Hyundai,SPORTS 1.2 VTVT ,2014,Manual,"14,086",1st,Petrol,"4,16,299","9,260/month",Zero downpayment,Mumbai,Maharashtra
3237,Ford Figo Aspire,Ford,1.5 TREND DIESEL ,2018,Manual,"28,177",1st,Diesel,"6,10,299","13,576/month",Zero downpayment,Mumbai,Maharashtra
3238,KIA SELTOS,KIA,HTX AT PETROL ,2020,Automatic,"12,433",1st,Petrol,"15,41,099","34,281/month",Zero downpayment,Mumbai,Maharashtra
3239,KIA SELTOS,KIA,GTX+ 1.4 MT ,2019,Manual,"14,320",1st,Petrol,"16,67,199","37,086/month",Zero downpayment,Mumbai,Maharashtra
3240,KIA SELTOS,KIA,GTX+ 1.4 MT ,2019,Manual,"5,348",1st,Petrol,"16,17,199","35,974/month",Zero downpayment,Mumbai,Maharashtra
3241,KIA SELTOS,KIA,GTX+ 1.4 MT ,2019,Manual,"12,368",1st,Petrol,"16,81,199","37,397/month",Zero downpayment,Mumbai,Maharashtra
3242,Hyundai Elite i20,Hyundai,SPORTZ 1.2 ,2017,Manual,"22,276",2nd,Petrol,"5,75,399","12,799/month",Zero downpayment,Mumbai,Maharashtra
3243,Hyundai Grand i10,Hyundai,STA 1.2 AT VTVT ,2013,Manual,"55,125",1st,Petrol,"4,18,099","9,300/month",Zero downpayment,Mumbai,Maharashtra
3244,Volkswagen Polo,Volkswagen,HIGHLINE PLUS 1.2L PETROL ,2017,Manual,"16,885",1st,Petrol,"6,02,299","13,398/month",Zero downpayment,Mumbai,Maharashtra
3245,Hyundai Verna,Hyundai,1.6 SX (O) CRDI MT ,2017,Manual,"43,660",1st,Diesel,"11,35,999","25,270/month",Zero downpayment,Mumbai,Maharashtra
3246,Maruti Celerio,Maruti,VXI AMT ,2015,Automatic,"17,993",1st,Petrol,"4,20,599","9,356/month",Zero downpayment,Mumbai,Maharashtra
3247,Mahindra XUV500,Mahindra,W8 FWD ,2017,Manual,"42,960",1st,Diesel,"12,35,599","27,485/month",Zero downpayment,Mumbai,Maharashtra
3248,Honda City,Honda,V MT PETROL ,2018,Manual,"15,834",1st,Petrol,"9,05,999","20,153/month",Zero downpayment,Mumbai,Maharashtra
3249,MG HECTOR,MG,SHARP 2.0 DIESEL ,2019,Manual,"48,939",1st,Diesel,"18,14,899","40,371/month",Zero downpayment,Mumbai,Maharashtra
