,cars_name,cars_brand,model,model_year,car_type,kms,owner,gasoliene_type,price,emi_per_month,zero_downpayment
571,Renault Kwid,Renault,RXT ,2017,Manual,"39,015",1st,Petrol,"3,47,899","7,739/month",Zero downpayment
572,Honda Amaze,Honda,1.2 V CVT I VTEC ,2018,,"14,513",1st,Petrol,"8,05,299","17,913/month",Zero downpayment
573,Hyundai Verna,Hyundai,1.6 SX VTVT AT (O) ,2018,Automatic,"24,605",1st,Petrol,"11,71,199","26,053/month",Zero downpayment
574,Hyundai Verna,Hyundai,1.6 SX VTVT AT (O) ,2018,Automatic,"22,533",1st,Petrol,"11,54,999","25,692/month",Zero downpayment
575,Hyundai Verna,Hyundai,1.6 SX VTVT AT (O) ,2018,Automatic,"29,110",1st,Petrol,"11,71,199","26,053/month",Zero downpayment
576,Toyota Innova Crysta,Toyota,2.4 ZX 7 STR ,2018,Manual,"42,023",1st,Diesel,"19,97,999","44,444/month",Zero downpayment
577,Skoda Octavia,Skoda,1.8 TSI STYLE AT ,2017,Automatic,"13,890",1st,Petrol,"14,90,599","33,158/month",Zero downpayment
578,Hyundai Verna,Hyundai,1.6 CRDI SX + AT ,2018,Automatic,"44,927",1st,Diesel,"11,32,299","25,187/month",Zero downpayment
579,Skoda Rapid,Skoda,STYLE 1.0TSI MT ,2020,Manual,"14,446",1st,Petrol,"11,95,299","26,589/month",Zero downpayment
580,Hyundai Elite i20,Hyundai,SPORTZ 1.2 ,2017,Manual,"51,431",1st,Petrol,"6,26,399","13,934/month",Zero downpayment
581,Ford Ecosport,Ford,1.5 TITANIUM TI VCT AT ,2017,Automatic,"13,768",2nd,Petrol,"8,07,199","17,956/month",Zero downpayment
582,Ford Ecosport,Ford,1.5 TITANIUM TI VCT AT ,2017,Automatic,"41,382",1st,Petrol,"7,52,499","16,739/month",Zero downpayment
583,Honda Amaze,Honda,VX AT I DTEC ,2019,Automatic,"15,703",1st,Diesel,"9,12,099","20,289/month",Zero downpayment
584,Hyundai Creta,Hyundai,1.6 VTVT SX AUTO ,2019,Automatic,"17,341",1st,Petrol,"14,39,899","32,030/month",Zero downpayment
585,Maruti Baleno,Maruti,LPHA DDIS 190 ,2017,Manual,"50,703",1st,Diesel,"6,66,099","14,817/month",Zero downpayment
586,Honda City,Honda,V MT PETROL ,2020,Manual,"14,352",1st,Petrol,"11,14,599","24,794/month",Zero downpayment
587,Hyundai Elite i20,Hyundai,STA 1.2 (O) ,2017,Manual,"21,982",1st,Petrol,"6,92,099","15,395/month",Zero downpayment
588,Tata Tiago,Tata,XZ 1.2 REVOTRON ,2018,Manual,"47,015",1st,Petrol,"4,58,999","10,210/month",Zero downpayment
589,Maruti Swift Dzire,Maruti,VXI 1.2 BS IV ,2014,Manual,"92,728",2nd,Petrol,"4,23,999","9,432/month",Zero downpayment
590,Ford Ecosport,Ford,1.5 TITANIUM PLUS TI VCT AT ,2018,Automatic,"21,486",1st,Petrol,"9,00,599","20,033/month",Zero downpayment
591,Maruti Swift,Maruti,ZDI ,2018,Manual,"74,342",1st,Diesel,"6,84,899","15,235/month",Zero downpayment
592,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2017,Manual,"25,237",1st,Petrol,"5,98,599","13,316/month",Zero downpayment
593,Hyundai Verna,Hyundai,1.6 SX (O) AT CRDI ,2019,Automatic,"34,718",1st,Diesel,"13,40,799","29,825/month",Zero downpayment
594,Maruti Baleno,Maruti,LPHA 1.2 K12 ,2017,Manual,"18,456",1st,Petrol,"6,79,099","15,106/month",Zero downpayment
595,Hyundai Creta,Hyundai,1.6 SX (O) VTVT ,2018,Manual,"69,039",1st,Petrol,"11,97,599","26,640/month",Zero downpayment
596,Maruti Swift Dzire,Maruti,ZXI 1.2 BS IV ,2012,Manual,"69,656",2nd,Petrol,"4,05,399","9,018/month",Zero downpayment
597,Volkswagen Polo,Volkswagen,HIGHLINE1.2L PETROL ,2013,Manual,"44,367",1st,Petrol,"4,23,599","9,423/month",Zero downpayment
598,Maruti Dzire,Maruti,VXI ,2019,Manual,"14,755",1st,Petrol,"7,16,899","15,947/month",Zero downpayment
599,Hyundai Elite i20,Hyundai,1.2  ASTA (O) CVT ,2019,Automatic,"19,838",1st,Petrol,"8,82,699","19,635/month",Zero downpayment
600,Maruti Swift Dzire,Maruti,VXI 1.2 BS IV ,2015,Manual,"51,016",1st,Petrol,"4,74,299","10,551/month",Zero downpayment
601,Maruti Swift Dzire,Maruti,VDI BS IV ,2012,Manual,"92,029",2nd,Diesel,"4,38,499","9,754/month",Zero downpayment
602,Hyundai Elite i20,Hyundai,1.2  ASTA (O) CVT ,2019,Automatic,"16,168",1st,Petrol,"9,36,599","20,834/month",Zero downpayment
603,Hyundai Elite i20,Hyundai,1.2  ASTA (O) CVT ,2019,Automatic,"1,026",1st,Petrol,"9,33,299","20,761/month",Zero downpayment
604,Mahindra XUV500,Mahindra,W11 AT ,2018,Automatic,"60,698",1st,Diesel,"16,67,199","37,086/month",Zero downpayment
605,Maruti Vitara Brezza,Maruti,ZXI + ,2020,Manual,"4,807",1st,Petrol,"10,16,199","22,605/month",Zero downpayment
606,Maruti Vitara Brezza,Maruti,ZDI PLUS ,2019,Manual,"29,248",1st,Diesel,"9,87,699","21,971/month",Zero downpayment
607,Maruti Vitara Brezza,Maruti,ZXI ,2021,Manual,"2,184",1st,Petrol,"10,70,299","23,808/month",Zero downpayment
608,Maruti Baleno,Maruti,LPHA DDIS 190 ,2018,Manual,"47,320",1st,Diesel,"7,73,699","17,211/month",Zero downpayment
609,Maruti Swift,Maruti,VXI ,2014,Manual,"22,424",2nd,Petrol,"4,07,999","9,076/month",Zero downpayment
610,Maruti Vitara Brezza,Maruti,VDI ,2019,Manual,"17,280",1st,Diesel,"8,38,699","18,656/month",Zero downpayment
611,Hyundai Grand i10,Hyundai,GNA 1.2 VTVT ,2019,Manual,"10,153",1st,Petrol,"5,33,799","11,874/month",Zero downpayment
612,Maruti Baleno,Maruti,LPHA 1.2 K12 ,2019,Manual,"42,158",1st,Petrol,"7,69,199","17,110/month",Zero downpayment
