,cars_name,cars_brand,model,model_year,car_type,kms,owner,gasoliene_type,price,emi_per_month,zero_downpayment
515,Maruti Alto 800,Maruti,LXI ,2016,Manual,"16,980",2nd,Petrol,"16,799",047/month,Zero downpayment
516,Maruti Alto K10,Maruti,VXI (O) AMT ,2017,Automatic,"16,226",1st,Petrol,"19,999",343/month,Zero downpayment
517,Hyundai Elite i20,Hyundai,GNA 1.2 ,2016,Manual,"65,640",1st,Petrol,"02,399",",176/month",Zero downpayment
518,Maruti Swift Dzire,Maruti,ZXI 1.2 BS IV ,2014,Manual,"31,851",1st,Petrol,"83,399",",753/month",Zero downpayment
519,Hyundai i20 Active,Hyundai,1.2 S ,2015,Manual,"43,538",1st,Petrol,"76,899",",833/month",Zero downpayment
520,Maruti Swift,Maruti,VXI AMT ,2018,Automatic,"25,571",1st,Petrol,"77,999",",082/month",Zero downpayment
521,Tata Hexa,Tata,Varicor 400 XTA ,2017,Automatic,"45,407",2nd,Diesel,",89,599",",911/month",Zero downpayment
522,Volkswagen Polo,Volkswagen,GT TSI 1.2 PETROL AT ,2018,Automatic,"20,448",1st,Petrol,"94,799",",680/month",Zero downpayment
523,Maruti Alto K10,Maruti,VXI ,2015,Manual,"18,071",1st,Petrol,"74,799",337/month,Zero downpayment
524,Hyundai i20,Hyundai,STA 1.2 ,2012,Manual,"49,704",1st,Petrol,"19,999",343/month,Zero downpayment
525,Honda Jazz,Honda,1.2 S MT ,2016,Manual,"9,011",2nd,Petrol,"23,499",",645/month",Zero downpayment
526,Jeep Compass,Jeep,2.0 SPORT ,2019,Manual,"10,356",2nd,Diesel,",18,699",",558/month",Zero downpayment
527,Hyundai Grand i10,Hyundai,SPORTZ (O) 1.2 AT VTVT ,2017,Automatic,"25,194",1st,Petrol,"21,099",",816/month",Zero downpayment
528,Hyundai i10,Hyundai,SPORTZ 1.2 ,2008,Manual,"30,958",1st,Petrol,"02,599",507/month,Zero downpayment
529,Hyundai Xcent,Hyundai,SX 1.2 ,2016,Manual,"29,026",1st,Petrol,"73,499",",757/month",Zero downpayment
530,Skoda Rapid,Skoda,ELEGANCE 1.6 TDI MT ,2012,Manual,"71,140",2nd,Diesel,"65,799",137/month,Zero downpayment
531,Tata TIGOR,Tata,Revotorq XZ (O) ,2017,Manual,"49,341",1st,Diesel,"43,499",",090/month",Zero downpayment
532,Toyota Etios,Toyota,G SP ,2011,Manual,"69,994",1st,Petrol,"22,199",167/month,Zero downpayment
