,cars_name,cars_brand,model,model_year,car_type,kms,owner,gasoliene_type,price,emi_per_month,zero_downpayment
120,Maruti Baleno,Maruti,LPHA 1.2 K12 ,2018,Manual,"38,735",2nd,Petrol,"7,48,299","16,645/month",Zero downpayment
121,Maruti Celerio,Maruti,ZXI OPT AMT ,2017,Automatic,"50,940",1st,Petrol,"5,01,299","11,151/month",Zero downpayment
122,Maruti Wagon R 1.0,Maruti,VXI ,2016,Manual,"78,656",1st,Petrol,"4,10,099","9,122/month",Zero downpayment
123,Maruti Alto,Maruti,LXI ,2019,Manual,"17,804",1st,Petrol,"3,56,299","7,926/month",Zero downpayment
124,Hyundai Grand i10,Hyundai,SPORTZ 1.2 KAPPA VTVT ,2016,Manual,"11,293",2nd,Petrol,"5,39,799","12,008/month",Zero downpayment
125,Maruti Wagon R 1.0,Maruti,VXI ,2014,Manual,"41,503",1st,Petrol,"4,07,899","9,073/month",Zero downpayment
126,Maruti Alto 800,Maruti,VXI (O) ,2018,Manual,"62,766",1st,Petrol,"3,32,499","7,396/month",Zero downpayment
127,Maruti Alto K10,Maruti,VXI ,2017,Manual,"68,809",2nd,Petrol,"3,53,799","7,870/month",Zero downpayment
128,Maruti Alto K10,Maruti,VXI ,2017,Manual,"78,193",1st,Petrol,"3,85,999","8,586/month",Zero downpayment
129,Maruti Eeco,Maruti,7 STR ,2019,Manual,"16,480",1st,Petrol,"4,20,699","9,358/month",Zero downpayment
130,Maruti Eeco,Maruti,5 STR WITH AC PLUSHTR ,2019,Manual,"18,789",1st,Petrol,"4,77,199","10,615/month",Zero downpayment
131,Maruti Eeco,Maruti,5 STR WITH AC PLUSHTR ,2019,Manual,"9,338",2nd,Petrol,"4,63,499","10,310/month",Zero downpayment
132,Hyundai i10,Hyundai,ERA 1.1 IRDE ,2012,Manual,"45,064",3rd,Petrol,"3,34,099","7,432/month",Zero downpayment
133,Maruti Alto K10,Maruti,VXI (O) AMT ,2019,Automatic,"30,016",1st,Petrol,"4,48,599","9,979/month",Zero downpayment
134,Maruti Baleno,Maruti,ZETA 1.2 K12 AMT ,2017,Automatic,"45,211",1st,Petrol,"6,63,599","14,761/month",Zero downpayment
135,MG HECTOR,MG,SHARP DCT PETROL ,2019,,"40,741",1st,Petrol,"16,59,699","36,919/month",Zero downpayment
136,Maruti Swift Dzire,Maruti,VDI BS IV ,2012,Manual,"1,21,755",1st,Diesel,"4,60,599","10,246/month",Zero downpayment
